timestamp,event,plate,start_time,end_time,duration_sec,duration_hms,blocks,cost_kyats
2025-11-13 16:27:48,START,ENTRY,1W 9662,2025-11-13 16:27:48,,,,,
2025-11-13 16:28:04,START,ENTRY,1I 1662,2025-11-13 16:28:04,,,,,
2025-11-13 16:31:50,START,ENTRY,1D 9621,2025-11-13 16:31:50,,,,,
2025-11-13 16:31:51,START,ENTRY,1D 9662,2025-11-13 16:31:51,,,,,
2025-11-13 16:31:53,START,ENTRY,1D 9663,2025-11-13 16:31:53,,,,,
2025-11-13 16:31:55,START,ENTRY,1S 9662,2025-11-13 16:31:55,,,,,
2025-11-13 16:32:23,RECEIPT,EXIT,1D 9662,2025-11-13 16:31:51,2025-11-13 16:32:23,31,00:00:31,1,500
2025-11-13 20:37:07,START,ENTRY,1L 6111,2025-11-13 20:37:07,,,,,
2025-11-13 20:37:31,START,ENTRY,1D 9663,2025-11-13 20:37:31,,,,,
2025-11-13 20:38:13,START,ENTRY,1D 1667,2025-11-13 20:38:13,,,,,
2025-11-13 20:38:28,START,ENTRY,1D 9661,2025-11-13 20:38:28,,,,,
2025-11-13 20:38:29,START,ENTRY,1D 9662,2025-11-13 20:38:29,,,,,
2025-11-13 20:38:42,RECEIPT,EXIT,1D 9662,2025-11-13 20:38:29,2025-11-13 20:38:42,13,00:00:13,1,500
2025-11-13 20:40:40,START,ENTRY,1D 9662,2025-11-13 20:40:40,,,,,
2025-11-13 20:40:41,START,ENTRY,7I 0966,2025-11-13 20:40:41,,,,,
2025-11-13 20:40:43,START,ENTRY,1O 9662,2025-11-13 20:40:43,,,,,
2025-11-13 20:40:45,START,ENTRY,4S 9662,2025-11-13 20:40:45,,,,,
2025-11-13 20:41:10,RECEIPT,EXIT,1D 9662,2025-11-13 20:40:40,2025-11-13 20:41:10,30,00:00:30,1,500
2025-11-14 17:38:01,START,ENTRY,1D 9602,2025-11-14 17:38:01,,,,,
2025-11-14 17:47:53,START,ENTRY,1B 6318,2025-11-14 17:47:53,,,,,
2025-11-14 17:48:02,START,ENTRY,7B 6376,2025-11-14 17:48:02,,,,,
2025-11-14 17:48:13,START,ENTRY,3B 6378,2025-11-14 17:48:13,,,,,
2025-11-14 17:48:14,START,ENTRY,9I 9831,2025-11-14 17:48:14,,,,,
2025-11-14 17:48:15,START,ENTRY,9B 6298,2025-11-14 17:48:15,,,,,
2025-11-14 17:48:17,START,ENTRY,9B 6719,2025-11-14 17:48:17,,,,,
2025-11-14 17:48:22,START,ENTRY,1L 9662,2025-11-14 17:48:22,,,,,
2025-11-14 17:48:48,START,ENTRY,9Z 1902,2025-11-14 17:48:48,,,,,
2025-11-14 17:48:55,START,ENTRY,9O 2190,2025-11-14 17:48:55,,,,,
2025-11-14 17:49:40,START,ENTRY,1J 9861,2025-11-14 17:49:40,,,,,
2025-11-14 17:50:01,START,ENTRY,4Z 8351,2025-11-14 17:50:01,,,,,
2025-11-14 17:50:12,START,ENTRY,6Z 4342,2025-11-14 17:50:12,,,,,
2025-11-14 17:50:54,START,ENTRY,4Z 3428,2025-11-14 17:50:54,,,,,
2025-11-14 17:50:55,START,ENTRY,4B 1314,2025-11-14 17:50:55,,,,,
2025-11-14 17:55:31,START,ENTRY,9B 6729,2025-11-14 17:55:31,,,,,
2025-11-14 17:59:26,START,ENTRY,1J 9797,2025-11-14 17:59:26,,,,,
2025-11-14 18:08:46,START,ENTRY,1D 1661,2025-11-14 18:08:46,,,,,
2025-11-14 18:09:23,START,ENTRY,1D 1610,2025-11-14 18:09:23,,,,,
2025-11-14 18:09:25,START,ENTRY,1D 9667,2025-11-14 18:09:25,,,,,
2025-11-14 18:09:26,START,ENTRY,1D 9663,2025-11-14 18:09:26,,,,,
2025-11-14 18:09:29,START,ENTRY,1D 9617,2025-11-14 18:09:29,,,,,
2025-11-14 18:09:31,START,ENTRY,1D 5663,2025-11-14 18:09:31,,,,,
2025-11-14 18:09:33,START,ENTRY,1D 9661,2025-11-14 18:09:33,,,,,
2025-11-14 18:09:34,START,ENTRY,1D 5667,2025-11-14 18:09:34,,,,,
2025-11-14 18:09:38,START,ENTRY,1D 1667,2025-11-14 18:09:38,,,,,
2025-11-14 18:09:45,START,ENTRY,1D 9666,2025-11-14 18:09:45,,,,,
2025-11-14 18:09:53,START,ENTRY,1O 4664,2025-11-14 18:09:53,,,,,
2025-11-14 18:09:54,START,ENTRY,4O 4664,2025-11-14 18:09:54,,,,,
2025-11-14 18:10:49,START,ENTRY,1O 9661,2025-11-14 18:10:49,,,,,
2025-11-14 18:14:08,RECEIPT,EXIT,1D 1667,2025-11-14 18:09:38,2025-11-14 18:14:08,270,00:04:30,5,2500
2025-11-14 18:14:53,RECEIPT,EXIT,1D 9661,2025-11-14 18:09:33,2025-11-14 18:14:53,320,00:05:20,6,3000
2025-11-14 18:20:17,START,ENTRY,1V 4610,2025-11-14 18:20:17,,,,,
2025-11-14 18:23:28,START,ENTRY,1D 9110,2025-11-14 18:23:28,,,,,
2025-11-14 18:23:56,RECEIPT,EXIT,1D 9667,2025-11-14 18:09:25,2025-11-14 18:23:56,870,00:14:30,15,7500
2025-11-14 18:24:11,RECEIPT,EXIT,1D 9663,2025-11-14 18:09:26,2025-11-14 18:24:11,884,00:14:44,15,7500
2025-11-14 18:25:37,START,ENTRY,1D 9601,2025-11-14 18:25:37,,,,,
2025-11-14 18:31:54,START,ENTRY,1D 9612,2025-11-14 18:31:54,,,,,
2025-11-14 18:31:56,START,ENTRY,1D 9667,2025-11-14 18:31:56,,,,,
2025-11-14 18:31:59,START,ENTRY,1O 9667,2025-11-14 18:31:59,,,,,
2025-11-14 18:32:03,START,ENTRY,1D 9661,2025-11-14 18:32:03,,,,,
